TC_REGION_CODE TC_DNS_CODE VULTR_REGION_CODE
uk-lon lon.uk lhr
uk-man man.uk man
us-nwk nwk.us ewr
us-atl atl.us atl
us-mia mia.us mia
us-dal dal.us dal
us-lax lax.us lax
us-sjo sjo.us sjo
us-stl stl.us stl
us-chg chg.us chg
us-hnl hnl.us hnl
ca-tto tto.ca tto
nl-ams ams.nl ams
fr-par par.fr cdg
de-fra fra.de fra
es-mad mad.es mad
se-sto sto.se sto
pl-waw waw.pl waw
il-tlv tlv.il tlv
in-mbi mbi.in mmb
in-dlh dlh.in del
in-bgl bgl.in blr
sg-sgp sgp.sg sgp
kr-seo seo.kr seo
jp-tky tky.jp tky
jp-osk osk.jp osk
au-syd syd.au syd
au-mel mel.au mel
mx-mxc mxc.mx mex
br-sao sao.br sao
cl-sgo sgo.cl scl
za-jhb jhb.za jhb
